movie_title,movie_stars,movie_ratings,release_year,movie_duration,movie_url
 Braveheart,8.3,1100000,1995,2h 58m,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_78
 Avengers: Endgame,8.4,1200000,2019,3h 1m,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_79
 Joker,8.4,1400000,2019,2h 2m,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_80
 Mononoke-hime,8.3,421000,1997,2h 14m,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_81
 Good Will Hunting,8.3,100000,1997,2h 6m,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_82
 Kimi No Na Wa,8.4,305000,2016,1h 46m,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_83
 Once Upon a Time in America,8.3,370000,1984,3h 49m,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_84
 Tengoku to Jigoku,8.4,51000,1963,2h 23m,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_85
 3 Idiots,8.4,423000,2009,2h 50m,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_86
 Singin' in the Rain,8.3,256000,1952,1h 43m,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_87
 Capharnaüm,8.4,101000,2018,2h 6m,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_88
 Requiem for a Dream,8.3,883000,2000,1h 42m,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_89
 Idi I Smotri,8.4,92000,1985,2h 22m,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90
 Toy Story 3,8.3,877000,2010,1h 43m,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_91
 Star Wars: Episode VI - Return of the Jedi,8.3,1100000,1983,2h 11m,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_92
 Eternal Sunshine of the Spotless Mind,8.3,1100000,2004,1h 48m,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_93
 2001: A Space Odyssey,8.3,705000,1968,2h 29m,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_94
 Jagten,8.3,355000,2012,1h 55m,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_95
 Reservoir Dogs,8.3,1100000,1992,1h 39m,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_96
 Ikiru,8.3,85000,1952,2h 23m,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_97
 Lawrence of Arabia,8.3,308000,1962,3h 38m,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_98
 The Apartment,8.3,192000,1960,2h 5m,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_99
 Citizen Kane,8.3,459000,1941,1h 59m,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_100
 M - Eine Stadt sucht einen Mörder,8.3,166000,1931,1h 57m,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_101
 North by Northwest,8.3,341000,1959,2h 16m,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_102
 Vertigo,8.3,420000,1958,2h 8m,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_103
 Double Indemnity,8.3,165000,1944,1h 47m,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104
 Le fabuleux destin d'Amélie Poulain,8.3,783000,2001,2h 2m,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_105
 Scarface,8.3,895000,1983,2h 50m,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_106
 Full Metal Jacket,8.3,777000,1987,1h 56m,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_107
 Incendies,8.3,192000,2010,2h 11m,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_108
 A Clockwork Orange,8.3,867000,1971,2h 16m,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_109
 Heat,8.3,702000,1995,2h 50m,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_110
 Up,8.3,1100000,2009,1h 36m,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_111
 To Kill a Mockingbird,8.3,328000,1962,2h 9m,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_112
 The Sting,8.3,275000,1973,2h 9m,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_113
 Hamilton,8.3,109000,2020,2h 40m,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_114
 Jodaeiye Nader Az Simin,8.3,255000,2011,2h 3m,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_115
 Indiana Jones and the Last Crusade,8.2,798000,1989,2h 7m,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_116
 Metropolis,8.3,182000,1927,2h 33m,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_117
 Die Hard,8.2,921000,1988,2h 12m,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_118
 Taare Zameen Par,8.3,203000,2007,2h 42m,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_119
 Snatch,8.2,894000,2000,1h 44m,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_120
 L,8.2,606000,1997,2h 18m,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_121
 Ladri Di Biciclette,8.3,172000,1948,1h 29m,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_122
 1917,8.2,653000,2019,1h 59m,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_123
 Taxi Driver,8.2,897000,1976,1h 54m,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_124
 Der Untergang,8.2,370000,2004,2h 36m,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_125
 Dangal,8.3,205000,2016,2h 41m,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_126
 Per qualche dollaro in più,8.2,269000,1965,2h 12m,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_127
 Batman Begins,8.2,1500000,2005,2h 20m,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_128
 Top Gun: Maverick,8.3,645000,2022,2h 10m,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_129
 Some Like It Hot,8.2,279000,1959,2h 1m,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_130
 The Kid,8.2,133000,1921,1h 8m,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_131
 The Wolf of Wall Street,8.2,1500000,2013,3h,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_132
 The Father,8.2,182000,2020,1h 37m,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_133
 Green Book,8.2,545000,2018,2h 10m,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_134
 All About Eve,8.2,137000,1950,2h 18m,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_135
 Judgment at Nuremberg,8.3,83000,1961,2h 59m,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_136
 The Truman Show,8.2,1200000,1998,1h 43m,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137
 There Will Be Blood,8.2,628000,2007,2h 38m,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_138
 Casino,8.2,552000,1995,2h 58m,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_139
 Shutter Island,8.2,1400000,2010,2h 18m,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_140
 Ran,8.2,133000,1985,2h 40m,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_141
 El Laberinto Del Fauno,8.2,694000,2006,1h 58m,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_142
 Jurassic Park,8.2,100000,1993,2h 7m,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_143
 The Sixth Sense,8.2,100000,1999,1h 47m,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_144
 Unforgiven,8.2,430000,1992,2h 10m,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_145
 A Beautiful Mind,8.2,971000,2001,2h 15m,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_146
 No Country for Old Men,8.2,100000,2007,2h 2m,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_147
 The Treasure of the Sierra Madre,8.2,131000,1948,2h 6m,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_148
 Yôjinbô,8.2,129000,1961,1h 50m,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_149
 Kill Bill: Vol,8.2,1200000,2003,1h 51m,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_150
 The Thing,8.2,455000,1982,1h 49m,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_151
 Monty Python and the Holy Grail,8.2,562000,1975,1h 31m,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_152
 The Great Escape,8.2,255000,1963,2h 52m,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_153
 Finding Nemo,8.2,1100000,2003,1h 40m,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_154
 Rashōmon,8.2,177000,1950,1h 28m,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_155
 The Elephant Man,8.2,254000,1980,2h 4m,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_156
 Chinatown,8.2,343000,1974,2h 10m,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_157
 Hauru No Ugoku Shiro,8.2,431000,2004,1h 59m,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_158
 Dial M for Murder,8.2,185000,1954,1h 45m,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_159
 Gone with the Wind,8.2,329000,1939,3h 58m,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_160
 Prisoners,8.1,783000,2013,2h 33m,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_161
 V for Vendetta,8.2,1200000,2005,2h 12m,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_162
 Raging Bull,8.1,373000,1980,2h 9m,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_163
" Lock, Stock and Two Smoking Barrels",8.1,607000,1998,1h 47m,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_164
 El Secreto De Sus Ojos,8.2,219000,2009,2h 9m,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_165
 Inside Out,8.1,765000,2015,1h 35m,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_166
 Spider-Man: No Way Home,8.2,847000,2021,2h 28m,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_167
" Three Billboards Outside Ebbing, Missouri",8.1,542000,2017,1h 55m,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_168
 Trainspotting,8.1,715000,1996,1h 33m,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_169
 The Bridge on the River Kwai,8.1,230000,1957,2h 41m,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_170
 Fargo,8.1,710000,1996,1h 38m,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_171
 Warrior,8.1,491000,2011,2h 20m,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_172
 Catch Me If You Can,8.1,1100000,2002,2h 21m,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_173
 Gran Torino,8.1,804000,2008,1h 56m,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_174
 Klaus,8.2,176000,2019,1h 36m,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_175
 My Neighbour Totoro,8.1,367000,1988,1h 26m,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_176
 Million Dollar Baby,8.1,712000,2004,2h 12m,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_177
 Harry Potter and the Deathly Hallows: Part 2,8.1,927000,2011,2h 10m,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_178
 Bacheha-Ye Aseman,8.2,79000,1997,1h 29m,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_179
 Blade Runner,8.1,808000,1982,1h 57m,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_180
 12 Years a Slave,8.1,730000,2013,2h 14m,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_181
 Before Sunrise,8.1,331000,1995,1h 41m,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_182
 The Grand Budapest Hotel,8.1,868000,2014,1h 39m,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_183
 Ben-Hur,8.1,250000,1959,3h 32m,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_184
 The Gold Rush,8.1,117000,1925,1h 35m,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_185
 Barry Lyndon,8.1,179000,1975,3h 5m,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_186
 Gone Girl,8.1,100000,2014,2h 29m,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_187
 Hacksaw Ridge,8.1,576000,2016,2h 19m,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_188
 In the Name of the Father,8.1,184000,1993,2h 13m,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_189
 On the Waterfront,8.1,162000,1954,1h 48m,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_190
 Salinui Chueok,8.1,207000,2003,2h 11m,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_191
 The General,8.1,96000,1926,1h 18m,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_192
 The Deer Hunter,8.1,356000,1978,3h 3m,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_193
 Relatos Salvajes,8.1,212000,2014,2h 2m,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_194
 Smultronstället,8.1,113000,1957,1h 31m,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_195
 Dead Poets Society,8.1,529000,1989,2h 8m,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_196
 The Third Man,8.1,179000,1949,1h 44m,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_197
 Le Salaire De La Peur,8.2,65000,1953,2h 11m,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_198
 Mad Max: Fury Road,8.1,1100000,2015,2h,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_199
 Sherlock Jr,8.2,55000,1924,45m,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_200
" Monsters, Inc",8.1,959000,2001,1h 32m,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_201
 Mr,8.1,120000,1939,2h 9m,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_202
 Jaws,8.1,647000,1975,2h 4m,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_203
 How to Train Your Dragon,8.1,783000,2010,1h 38m,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_204
 Mary and Max,8.1,184000,2009,1h 32m,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_205
 Ford v,8.1,446000,2019,2h 32m,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_206
 Det Sjunde Inseglet,8.1,195000,1957,1h 36m,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_207
 Room,8.1,442000,2015,1h 58m,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_208
 The Big Lebowski,8.1,846000,1998,1h 57m,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_209
 Ratatouille,8.1,800000,2007,1h 51m,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_210
 Tokyo Story,8.1,67000,1953,2h 16m,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_211
 Rocky,8.1,616000,1976,2h,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_212
 Hotel Rwanda,8.1,368000,2004,2h 1m,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_213
 Logan,8.1,812000,2017,2h 17m,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_214
 Spotlight,8.1,494000,2015,2h 9m,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_215
 Platoon,8.1,432000,1986,2h,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_216
 La passion de Jeanne d'Arc,8.1,59000,1928,1h 50m,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_217
 The Terminator,8.1,908000,1984,1h 47m,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_218
 Jai Bhim,8.7,213000,2021,2h 44m,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_219
 Before Sunset,8.1,282000,2004,1h 20m,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_220
 Rush,8.1,504000,2013,2h 3m,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_221
 Network,8.1,167000,1976,2h 1m,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_222
 The Best Years of Our Lives,8.1,69000,1946,2h 50m,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_223
 The Exorcist,8.1,446000,1973,2h 2m,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_224
 Stand by Me,8.1,432000,1986,1h 29m,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_225
 La haine,8.1,190000,1995,1h 38m,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_226
 Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1200000,2003,2h 23m,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_227
 The Wizard of Oz,8.1,420000,1939,1h 42m,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_228
 The Incredibles,8.0,788000,2004,1h 55m,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_229
 Into the Wild,8.1,648000,2007,2h 28m,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_230
 Hachi: A Dog's Tale,8.1,304000,2009,1h 33m,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_231
 Ah-ga-ssi,8.1,166000,2016,2h 25m,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_232
 To Be or Not to Be,8.2,42000,1942,1h 39m,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_233
 My Father and My Son,8.2,91000,2005,1h 52m,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_234
 Groundhog Day,8.0,669000,1993,1h 41m,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_235
 La battaglia di Algeri,8.1,64000,1966,2h 1m,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_236
 The Grapes of Wrath,8.1,98000,1940,2h 9m,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_237
 Amores perros,8.1,250000,2000,2h 34m,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_238
 The Sound of Music,8.1,252000,1965,2h 52m,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_239
 Rebecca,8.1,144000,1940,2h 10m,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_240
 Cool Hand Luke,8.1,186000,1967,2h 7m,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_241
 The Iron Giant,8.1,220000,1999,1h 26m,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_242
 The Help,8.1,484000,2011,2h 26m,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_243
 It Happened One Night,8.1,110000,1934,1h 45m,https://www.imdb.com/title/tt0025316/?ref_=chttp_t_244
